Date,Description,Amount,Balance
2026-01-27,Swiggy weekly delivery payout,7735.00,14735.00
2026-01-30,Swiggy weekly delivery payout,6630.00,21365.00
2026-02-01,House rent paid to landlord,-8000.00,13365.00
2026-02-03,Navi Finance personal loan EMI,-3000.00,10365.00
2026-02-11,Zomato delivery partner payout,4420.00,14785.00
2026-02-12,BESCOM electricity bill payment,-923.00,13862.00
2026-02-14,Airtel prepaid mobile recharge,-399.00,13463.00
2026-02-18,Rapido captain weekly payout,3315.00,16778.00
2026-02-20,UPI purchase - Swiggy Instamart order,-7666.80,9111.20
2026-02-23,UPI POS purchase - DMart,-5111.20,4000.00
2026-02-26,Swiggy weekly delivery payout,11830.00,15830.00
2026-03-01,Swiggy weekly delivery payout,10140.00,25970.00
2026-03-03,House rent paid to landlord,-8000.00,17970.00
2026-03-05,Navi Finance personal loan EMI,-3000.00,14970.00
2026-03-13,Zomato delivery partner payout,6760.00,21730.00
2026-03-14,BESCOM electricity bill payment,-923.00,20807.00
2026-03-16,Airtel prepaid mobile recharge,-399.00,20408.00
2026-03-20,Rapido captain weekly payout,5070.00,25478.00
2026-03-22,UPI purchase - Swiggy Instamart order,-12586.80,12891.20
2026-03-25,UPI POS purchase - DMart,-8391.20,4500.00
2026-03-28,Swiggy weekly delivery payout,13650.00,18150.00
2026-03-31,Swiggy weekly delivery payout,11700.00,29850.00
2026-04-02,House rent paid to landlord,-8000.00,21850.00
2026-04-04,Navi Finance personal loan EMI,-3000.00,18850.00
2026-04-12,Zomato delivery partner payout,7800.00,26650.00
2026-04-13,BESCOM electricity bill payment,-923.00,25727.00
2026-04-15,Airtel prepaid mobile recharge,-399.00,25328.00
2026-04-19,Rapido captain weekly payout,5850.00,31178.00
2026-04-21,UPI purchase - Swiggy Instamart order,-15106.80,16071.20
2026-04-24,UPI POS purchase - DMart,-10071.20,6000.00
2026-04-27,Swiggy weekly delivery payout,13195.00,19195.00
2026-04-30,Swiggy weekly delivery payout,11310.00,30505.00
2026-05-02,House rent paid to landlord,-8000.00,22505.00
2026-05-04,Navi Finance personal loan EMI,-3000.00,19505.00
2026-05-12,Zomato delivery partner payout,7540.00,27045.00
2026-05-13,BESCOM electricity bill payment,-923.00,26122.00
2026-05-15,Airtel prepaid mobile recharge,-399.00,25723.00
2026-05-19,Rapido captain weekly payout,5655.00,31378.00
2026-05-21,UPI purchase - Swiggy Instamart order,-15826.80,15551.20
2026-05-24,UPI POS purchase - DMart,-10551.20,5000.00
2026-05-27,Swiggy weekly delivery payout,7280.00,12280.00
2026-05-30,Swiggy weekly delivery payout,6240.00,18520.00
2026-06-01,House rent paid to landlord,-8000.00,10520.00
2026-06-03,Navi Finance personal loan EMI,-3000.00,7520.00
2026-06-11,Zomato delivery partner payout,4160.00,11680.00
2026-06-12,BESCOM electricity bill payment,-923.00,10757.00
2026-06-14,Airtel prepaid mobile recharge,-399.00,10358.00
2026-06-18,Rapido captain weekly payout,3120.00,13478.00
2026-06-20,UPI purchase - Swiggy Instamart order,-6586.80,6891.20
2026-06-23,UPI POS purchase - DMart,-4391.20,2500.00
2026-06-26,Swiggy weekly delivery payout,5005.00,7505.00
2026-06-29,Swiggy weekly delivery payout,4290.00,11795.00
2026-07-01,House rent paid to landlord,-8000.00,3795.00
2026-07-03,Navi Finance personal loan EMI,-3000.00,795.00
2026-07-11,Zomato delivery partner payout,2860.00,3655.00
2026-07-12,BESCOM electricity bill payment,-923.00,2732.00
2026-07-14,Airtel prepaid mobile recharge,-399.00,2333.00
2026-07-18,Rapido captain weekly payout,2145.00,4478.00
2026-07-20,UPI purchase - Swiggy Instamart order,-586.80,3891.20
2026-07-23,UPI POS purchase - DMart,-391.20,3500.00
2026-07-26,Swiggy weekly delivery payout,4550.00,8050.00
2026-07-29,Swiggy weekly delivery payout,3900.00,11950.00
2026-07-31,House rent paid to landlord,-8000.00,3950.00
2026-08-02,Navi Finance personal loan EMI,-3000.00,950.00
2026-08-10,Zomato delivery partner payout,2600.00,3550.00
2026-08-13,Airtel prepaid mobile recharge,-399.00,3151.00
2026-08-17,Rapido captain weekly payout,1950.00,5101.00
2026-08-19,UPI purchase - Swiggy Instamart order,-1260.60,3840.40
2026-08-22,UPI POS purchase - DMart,-840.40,3000.00
